sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
E-7-4-4-T1-T	na	7.4.4	7.4	4	T1	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-4-4-T2-T	na	7.4.4	7.4	4	T2	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-4-4-T3-T	na	7.4.4	7.4	4	T3	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-4-5-T-minus-1	na	7.4.5	7.4	5	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	15	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-5-T0-T	na	7.4.5	7.4	5	T0	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	15	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-5-T1-T	na	7.4.5	7.4	5	T1	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	15	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-5-T2-T	na	7.4.5	7.4	5	T2	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	15	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-5-T3-T	na	7.4.5	7.4	5	T3	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	15	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-8-T-minus-1	na	7.4.8	7.4	8	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Normal	coral	
E-7-4-8-T0-T	na	7.4.8	7.4	8	T0	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Normal	coral	
E-7-4-8-T1-T	na	7.4.8	7.4	8	T1	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Normal	coral	
E-7-4-8-T2-T	na	7.4.8	7.4	8	T2	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Normal	coral	
E-7-4-8-T3-T	na	7.4.8	7.4	8	T3	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	0	80	Resistant	NormalS	Tolerant	Normal	coral	
E-7-4-9-T0-T	na	7.4.9	7.4	9	T0	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-9-T1-T	na	7.4.9	7.4	9	T1	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-9-T2-T	na	7.4.9	7.4	9	T2	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-4-9-T3-T	na	7.4.9	7.4	9	T3	T	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-1-T0-C	na	7.6.1	7.6	1	T0	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-1-T1-C	na	7.6.1	7.6	1	T1	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-1-T2-C	na	7.6.1	7.6	1	T2	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-1-T3-C	na	7.6.1	7.6	1	T3	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-1-T-minus-1	na	7.6.1	7.6	1	T-1	O	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-7-6-2-T0-C	na	7.6.2	7.6	2	T0	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-6-2-T1-C	na	7.6.2	7.6	2	T1	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-6-2-T2-C	na	7.6.2	7.6	2	T2	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-7-6-2-T3-C	na	7.6.2	7.6	2	T3	C	red	Altare	Portofino	19.71	35_37	35_40	44.308918	9.178645	30	100	Normal	Sensible	Tolerant	Normal	coral	
